N_cutoff_d,N_cutoff_Eh,E_start,n,omega_0,E_0,U_p,E_cutoff_d,E_cutoff_Eh,I_p,E_classic,N_classic,I_p/U_p
,,a. u.,,a. u.,a. u.,a. u.,a. u.,a. u.,a. u.,,,
17,27,0.025658134,10,0.06,0.065,0.293402778,1.02,1.62,0.499999978,1.590086776,26.50144627,0.087450207
31,31,0.025658134,10,0.06,0.075,0.390625,1.86,1.86,0.499999978,1.898281221,31.63802035,0.065684822
15,19,0.020531144,10,0.06,0.045,0.140625,0.9,1.14,0.499999978,1.105781221,18.42968701,0.145999243
17,23,0.020531144,10,0.06,0.055,0.210069444,1.02,1.38,0.499999978,1.32592011,22.09866849,0.097735031
17,27,0.020531144,10,0.06,0.065,0.293402778,1.02,1.62,0.499999978,1.590086776,26.50144627,0.069975969
31,31,0.020531144,10,0.06,0.075,0.390625,1.86,1.86,0.499999978,1.898281221,31.63802035,0.052559728
39,39,0.020531144,10,0.06,0.085,0.501736111,2.34,2.34,0.499999978,2.250503443,37.50839072,0.040920203
9,9,0.015863824,10,0.06,0.025,0.043402778,0.54,0.54,0.499999978,0.797586776,13.29311294,0.365502501
13,13,0.015863824,10,0.06,0.035,0.085069444,0.78,0.78,0.499999978,0.92967011,15.49450183,0.186480868
14,13,0.015863824,10,0.06,0.045,0.140625,0.84,0.78,0.499999978,1.105781221,18.42968701,0.112809414
15,23,0.015863824,10,0.06,0.055,0.210069444,0.9,1.38,0.499999978,1.32592011,22.09866849,0.075517046
27,27,0.015863824,10,0.06,0.065,0.293402778,1.62,1.62,0.499999978,1.590086776,26.50144627,0.054068417
33,33,0.015863824,10,0.06,0.075,0.390625,1.98,1.98,0.499999978,1.898281221,31.63802035,0.040611389
39,39,0.015863824,10,0.06,0.085,0.501736111,2.34,2.34,0.499999978,2.250503443,37.50839072,0.031617863
,,0.499999978,1,0.06,0.06,0.25,--,--,0.499999978,1.452499971,24.20833285,1.999999912
17,17,0.499999978,2,0.06,0.06,0.25,1.02,1.02,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,4,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,6,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,8,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,10,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
,,0.499999978,10,0.01,0.06,9,--,--,0.499999978,29.18999997,2918.999997,0.055555553
27,27,0.499999978,10,0.057,0.06,0.27700831,1.539,1.539,0.499999978,1.538116314,26.98449674,1.80499992
25,25,0.499999978,14,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,16,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,20,0.06,0.06,0.25,1.5,1.5,0.499999978,1.452499971,24.20833285,1.999999912
25,25,0.499999978,10,0.06,0.062,0.266944444,1.5,1.5,0.499999978,1.50621386,25.10356433,1.873048825
27,27,0.499999978,10,0.06,0.063,0.275625,1.62,1.62,0.499999978,1.533731221,25.56218701,1.814058877
27,27,0.499999978,10,0.06,0.064,0.284444444,1.62,1.62,0.499999978,1.56168886,26.02814766,1.757812422
27,27,0.499999978,10,0.06,0.065,0.293402778,1.62,1.62,0.499999978,1.590086776,26.50144627,1.704141936
27,27,0.499999978,10,0.06,0.065,0.293402778,1.62,1.62,0.499999978,1.590086776,26.50144627,1.704141936
,,0.499999978,10,0.01,0.065,10.5625,--,--,0.499999978,34.14312497,3414.312497,0.047337276
,,0.499999978,10,0.02,0.065,2.640625,--,--,0.499999978,9.030781221,451.539061,0.189349104
,145,0.499999978,10,0.03,0.065,1.173611111,--,4.35,0.499999978,4.380347193,146.0115731,0.426035484
,69,0.499999978,10,0.04,0.065,0.66015625,--,2.76,0.499999978,2.752695283,68.81738208,0.757396416
,41,0.499999978,10,0.05,0.065,0.4225,--,2.05,0.499999978,1.999324971,39.98649942,1.1834319
